nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
121,19200,Hamburguesas el Corral Parque 97,Avenida 19 No 97 - 05 Local 1-2,NR,Chapinero,No,NA,www.elcorral.com
226,26439,Crepes & Waffles,Avenida Carrera 9 No 110 - 50 Local 304/305,676 76 00 Extensión 723 -,Usaquén,No,NA,www.Crepesywaffles.com
291,30004,El Carnal,Calle 85 No 13 -  20,NR,Chapinero,No,NA,elcarnal.com.co
178,25361,MC Donalds Usaquén,Calle 118 No 6A - 76,637 84 81 - 320 307 99 26,Usaquén,Sí,400 33 33,www.mcdonalds.com.co
280,29801,La Brasa Roja Calle 67,Carrera 11 No 66 - 75,255 84 18 -,Chapinero,Sí,600 45 65,labrasaroja.com
40,14588,Restaurante Cali Mío,Calle 85 No 16 - 48 Local 1,256 37 48 -,Chapinero,Sí,600 43 00,www.calimio.com.co
114,19007,Central Cevichería,Carrera 13 No 85 - 14,644 77 66 -,Chapinero,NR,NA,www.centralcevicheria.com
317,30769,PPC Pollo; Pizza; Carne,Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local C-29,487 82 01 -,Los Mártires,NR,NA,www.ppc.com.co
338,32252,Kokoriko Central Domicilios Usaquén,Calle 119 No 9 - 04,NR,Usaquén,Sí,410 01 11,www.kokoriko.com.co
311,30764,PPC Pollo; Pizza; Carne,Calle 53 No 25 - 53,701 81 46 - 217 46 50,Teusaquillo,Sí,359 91 00,www.ppc.com.co
5,11511,Kokoriko Puente Aéreo,Puente Aéreo  Local  L-2 209 Aeropuerto,NR,Fontibón,Sí,410 01 11,www.kokoriko.com.co
184,25666,Crepes & Waffles,Carrera 9 No 73    33,676 76 00 Extensión 707 -,Chapinero,No,NA,www.Crepesywaffles.com
182,25664,Crepes & Waffles,Calle 81 No 13  -  05 Local 414,676 76 00 Extensión 745 -,Chapinero,No,NA,www.Crepesywaffles.com
76,14813,MC Donalds Salitre,Centro Comercial Salitre Plaza Carrera 68 B No 24  - 39 Local 3-102/3-104,416 96 81 - 311 561 08 63,Fontibón,No,NA,www.mcdonalds.com.co
47,14630,Restaurante Wok,Carrera 9  69A -  63,212 01 67 -,Chapinero,NR,NA,www.wok.com.co
116,19009,Osaki  93,Carrera 11 A No 93 A - 46 Local 101,NR,Chapinero,Sí,644 77 77,www.osaki.com.co
101,16930,Sopas de Mamá y Postres de la Abuela sucursal centro Internacional,Carrera 13 No 27 - 98 Local 241 Centro Internacional,658 48 91 -,Santafé,NR,NA,www.sopasypostres.com.co
